1	2.218797
2	4.218918
3	5.266961
4	4.942337
5	4.512850
6	5.702469
7	3.677325
8	2.110713
9	4.872168
10	2.621423
11	3.057828
12	2.289057
13	3.784602
14	4.300432
15	0.655093
16	3.572038
17	1.954457
18	1.695087
19	3.614894
20	2.790303
21	0.904977
22	1.039769
23	0.770395
24	0.765473
25	0.991534
26	0.004277
27	0.003429
28	0.002880
29	0.002497
30	0.002215
31	0.002001
32	0.001834
33	0.001700
34	0.001591
35	0.001502
36	0.001427
37	0.001364
38	0.001311
39	0.001265
40	0.001226
41	0.001192
42	0.001162
43	0.001136
44	0.001113
45	0.001093
46	0.001075
47	0.001059
48	0.001044
49	0.001031
50	0.001019
51	0.001009
52	0.000999
