1	2.195422
2	3.561582
3	3.010174
4	2.870009
5	3.739841
6	2.034725
7	3.110753
8	1.824848
9	1.359190
10	0.856770
11	1.588893
12	1.411845
13	1.015358
14	2.114300
15	1.055156
16	0.971533
17	0.057084
18	0.009189
19	0.008277
20	0.007741
21	0.007306
22	0.006926
23	0.006585
24	0.006279
25	0.006002
26	0.005750
27	0.005519
28	0.005307
29	0.005111
30	0.004929
31	0.004760
32	0.004603
33	0.004455
34	0.004316
35	0.004186
36	0.004063
37	0.003947
38	0.003837
39	0.003733
40	0.003634
41	0.003539
42	0.003450
43	0.003364
44	0.003282
45	0.003204
46	0.003129
47	0.003057
48	0.002988
49	0.002922
50	0.002859
51	0.002798
52	0.002739
53	0.002682
54	0.002628
55	0.002575
56	0.002524
57	0.002475
58	0.002428
59	0.002382
60	0.002338
61	0.002295
62	0.002253
63	0.002213
64	0.002174
65	0.002136
66	0.002099
67	0.002064
68	0.002029
69	0.001996
70	0.001963
71	0.001932
72	0.001901
73	0.001871
74	0.001842
75	0.001813
76	0.001786
77	0.001759
78	0.001733
79	0.001707
80	0.001682
81	0.001658
82	0.001634
83	0.001611
84	0.001589
85	0.001567
86	0.001545
87	0.001524
88	0.001504
89	0.001484
90	0.001465
91	0.001446
92	0.001427
93	0.001409
94	0.001391
95	0.001374
96	0.001356
97	0.001340
98	0.001324
99	0.001308
100	0.001292
101	0.001277
102	0.001262
103	0.001247
104	0.001233
105	0.001219
106	0.001205
107	0.001191
108	0.001178
109	0.001165
110	0.001152
111	0.001140
112	0.001127
113	0.001115
114	0.001104
115	0.001092
116	0.001081
117	0.001070
118	0.001059
119	0.001048
120	0.001037
121	0.001027
122	0.001017
123	0.001007
124	0.000997
